id,completed_at,started_at,title,is_poll_error,error,is_error,status,calling_recipe_id,calling_job_id,recipe_id,root_recipe_id,root_job_id,Job Date
j-AY9HHp9r-ABB9tF-CD,2026-02-16T18:21:58.860+05:30,2026-02-16T18:21:57.154+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-16T18:21:56.965118+05:30, Scheduled day=Monday, and Scheduled week=7",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,#VALUE!
j-AY9HHcn9-mChJKx-CD,2026-02-16T18:21:40.714+05:30,2026-02-16T18:21:39.111+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-16T18:21:38.934865+05:30, Scheduled day=Monday, and Scheduled week=7",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY9EfLcH-E8ExHr-CD,2026-02-16T15:39:26.473+05:30,2026-02-16T15:39:24.592+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-16T15:39:24.383417+05:30, Scheduled day=Monday, and Scheduled week=7",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY9EeGAn-t4dcL9-CD,2026-02-16T15:37:52.908+05:30,2026-02-16T15:37:50.696+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-16T15:37:50.509752+05:30, Scheduled day=Monday, and Scheduled week=7",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY9EPCfQ-ombJwL-CD,2026-02-16T15:22:08.780+05:30,2026-02-16T15:22:06.827+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-16T15:19:00.045749+05:30, Scheduled day=Monday, and Scheduled week=7",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY9EK6Tp-aBGHfG-CD,2026-02-16T15:16:16.306+05:30,2026-02-16T15:16:16.189+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-16T15:16:16.032257+05:30, Scheduled day=Monday, and Scheduled week=7",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY4BMXkz-GhhCC9-CD,2026-02-10T18:46:36.059+05:30,2026-02-10T18:46:34.631+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T18:33:14.643142+05:30, Scheduled day=Tuesday, and Scheduled week=6",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY4B4EPs-R8GFC8-CD,2026-02-10T18:24:50.756+05:30,2026-02-10T18:24:49.282+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T18:24:49.102756+05:30, Scheduled day=Tuesday, and Scheduled week=6",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY4AFxNH-cBKJ8p-CD,2026-02-10T17:36:13.398+05:30,2026-02-10T17:36:11.684+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T17:36:11.478998+05:30, Scheduled day=Tuesday, and Scheduled week=6",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY4AFJfe-trRpAz-CD,2026-02-10T17:35:17.572+05:30,2026-02-10T17:35:16.103+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T17:35:15.924370+05:30, Scheduled day=Tuesday, and Scheduled week=6",FALSE,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T17:35:15.924370+05:30, Scheduled day=Tuesday, and Scheduled week=6",TRUE,failed,null,null,70223922,null,null,
j-AY483BEf-6wF4T6-CD,2026-02-10T15:15:55.053+05:30,2026-02-10T15:15:53.615+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T15:15:53.417167+05:30, Scheduled day=Tuesday, and Scheduled week=6",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY46xNGK-P8kJdf-CD,2026-02-10T15:13:26.364+05:30,2026-02-10T15:13:24.607+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T15:13:24.417312+05:30, Scheduled day=Tuesday, and Scheduled week=6",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY46LgB9-bfPsea-CD,2026-02-10T14:35:33.135+05:30,2026-02-10T14:35:31.529+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T14:35:31.323509+05:30, Scheduled day=Tuesday, and Scheduled week=6",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY46LKTT-dobFQ3-CD,2026-02-10T14:35:00.808+05:30,2026-02-10T14:34:59.088+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T14:34:04.577226+05:30, Scheduled day=Tuesday, and Scheduled week=6",FALSE,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T14:34:04.577226+05:30, Scheduled day=Tuesday, and Scheduled week=6",TRUE,failed,null,null,70223922,null,null,
j-AY46JspF-tfdWJN-CD,2026-02-10T14:32:59.573+05:30,2026-02-10T14:32:57.992+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T14:32:57.813100+05:30, Scheduled day=Tuesday, and Scheduled week=6",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY46JG8h-ecwYeB-CD,2026-02-10T14:32:03.683+05:30,2026-02-10T14:32:02.131+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T14:31:38.689400+05:30, Scheduled day=Tuesday, and Scheduled week=6",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY46H4zD-TxhPFd-CD,2026-02-10T14:30:21.532+05:30,2026-02-10T14:30:19.625+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T14:30:19.322944+05:30, Scheduled day=Tuesday, and Scheduled week=6",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY46EEez-L8f6Tt-CD,2026-02-10T14:26:20.826+05:30,2026-02-10T14:26:18.679+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T14:22:47.742268+05:30, Scheduled day=Tuesday, and Scheduled week=6",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
j-AY43rbsL-FptQ3h-CD,2026-02-10T13:03:07.456+05:30,2026-02-10T13:03:06.323+05:30,"Scheduler by Workato: new recurring event: Scheduled time=2026-02-10T13:03:06.146917+05:30, Scheduled day=Tuesday, and Scheduled week=6",FALSE,null,FALSE,succeeded,null,null,70223922,null,null,
